"Country Name","Country Code","Year","average_value_Agricultural raw materials exports (% of merchandise exports)","average_value_Commercial service exports (current US$)","average_value_Commercial service imports (current US$)","average_value_Computer, communications and other services (% of commercial service exports)","average_value_Computer, communications and other services (% of commercial service imports)","average_value_Export unit value index (2000 = 100)","average_value_Export value index (2000 = 100)","average_value_Export volume index (2000 = 100)","average_value_Food exports (% of merchandise exports)","average_value_Fuel exports (% of merchandise exports)","average_value_High-technology exports (% of manufactured exports)","average_value_High-technology exports (current US$)","average_value_ICT goods exports (% of total goods exports)","average_value_ICT goods imports (% total goods imports)","average_value_Import value index (2000 = 100)","average_value_Insurance and financial services (% of commercial service exports)","average_value_Insurance and financial services (% of commercial service imports)","average_value_Manufactures exports (% of merchandise exports)","average_value_Manufactures imports (% of merchandise imports)","average_value_Merchandise exports (current US$)","average_value_Merchandise exports by the reporting economy (current US$)","average_value_Merchandise exports by the reporting economy, residual (% of total merchandise exports)","average_value_Merchandise exports to economies in the Arab World (% of total merchandise exports)","average_value_Merchandise exports to high-income economies (% of total merchandise exports)","average_value_Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports)","average_value_Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports)","average_value_Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports)","average_value_Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports)","average_value_Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports)","average_value_Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports)","average_value_Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports)","average_value_Merchandise imports (current US$)","average_value_Merchandise imports by the reporting economy (current US$)","average_value_Merchandise imports by the reporting economy, residual (% of total merchandise imports)","average_value_Merchandise imports from economies in the Arab World (% of total merchandise imports)","average_value_Merchandise imports from high-income economies (% of total merchandise imports)","average_value_Merchandise imports from low- and middle-income economies in East Asia & Pacific (% of total merchandise imports)","average_value_Merchandise imports from low- and middle-income economies in Europe & Central Asia (% of total merchandise imports)","average_value_Merchandise imports from low- and middle-income economies in Latin America & the Caribbean (% of total merchandise imports)","average_value_Merchandise imports from low- and middle-income economies in Middle East & North Africa (% of total merchandise imports)","average_value_Merchandise imports from low- and middle-income economies in South Asia (% of total merchandise imports)","average_value_Merchandise imports from low- and middle-income economies in Sub-Saharan Africa (% of total merchandise imports)","average_value_Merchandise imports from low- and middle-income economies outside region (% of total merchandise imports)","average_value_Net barter terms of trade index (2000 = 100)","average_value_Ores and metals exports (% of merchandise exports)","average_value_Ores and metals imports (% of merchandise imports)","average_value_Transport services (% of commercial service exports)","average_value_Transport services (% of commercial service imports)","average_value_Travel services (% of commercial service exports)","average_value_Travel services (% of commercial service imports)"
"Gibraltar","GIB","1996","","","","","","","86.41667179","","","","","","","","89.71977952","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Gambia, The","GMB","1995","0.503733319391713","38087794.8047427","46533704.6287147","4.67649647887309","4.19922094882132","115","101.399876","93.15503438","59.7034897536421","0.169161581477016","","","","","97.53796791","0.277838908450704","5.7865940152658","35.9295203328051","45.8109924819297","16000000","27762838.81","3.67202326935241","0.265629303745542","63.4993642283766","3.34413710103228","","0.009055544446321","0.0739536129590777","2.6408231492376","26.7606430945957","6.06796940767528","182000000","140351970.7","7.75632822864504","0.603656420235288","55.3402471034476","11.8354125674275","0.106431015703081","2.26848828315312","0.0555292256023164","3.25308713322042","19.3844764428009","17.5189482251065","100","1.03893300568354","0.347644193295217","21.6796875","59.6041699502398","73.3659771126762","30.4100150856731"
"Gambia, The","GMB","2003","10.8817913772625","69941620.9724036","30250318.3580384","5.33508396518113","0.537623843506296","106.6176809","29.07625542","27.27151367","85.9495761666851","0","","","0.7192920771","4.4275447756","83.67593583","0.603366625406547","9.88231414065647","2.35009224585918","48.7399315135068","5000000","5257985","2.37758380824593","0.395246467991065","61.94776135725","9.88557403644172","0.0822178077723691","3.8508478057659","0.286973051463631","0.712307091024413","20.8567350420361","14.817919792468","156000000","158195844","0.029249820241801","2.59067362098337","75.6656831010049","5.44886691207893","1.30423717073124","3.61136984104336","1.04589978988323","3.58974285064025","9.30495051437635","15.000116564377","104.0427965","0.818503619213777","0.898634892407772","27.023708700206","78.5321237661996","67.0378407092064","11.0479382496377"
"Equatorial Guinea","GNQ","1986","","","","","","65","2.223855419","3.42131603","","","","","","","11.47160197","","","","","24000000","35882727.27","0.25335054457803","","98.0973373019509","","1.52010336727117","0.0253350561193282","","","0.103873730080607","1.5454384233905","52000000","31409676.13","2.63694115364953","","65.00059930099","29.9652403197193","","","","","2.39721922564122","29.9652403197193","43.91891892","","","","","",""
"Guyana","GUY","1961","","","","","","","","","","","","","","","","","","","","86000000","86900000","1.72612197928653","0.115074798619102","87.1116225546605","","","9.5512082853855","0.115074798619102","1.49597238204833","","1.61104718066743","86000000","85400000","2.92740046838408","0.117096018735363","92.9742388758782","","","2.34192037470726","0.117096018735363","1.63934426229508","","1.75644028103044","","","","","","",""
"Haiti","HTI","2001","","123000000","251950000","14.6341463414634","1.98452073824173","98.41289666","86.25302987","87.64403122","","","","","","","97.76482397","0","0","","","274000000","287274322","0.0118071812906411","0.0245820787282199","98.0680782879021","0.195025436349302","0.811441824584656","0.853347762839729","0.0242576501494624","0.0209649785545399","0.0150768783295571","1.06676676796752","1013000000","748901309","16.2573439967108","0.070208583384917","58.7984123819979","2.19726201600216","1.38607996477677","20.6083022082153","0.0093670553325205","0.604966895577959","0.13826548138668","4.3359414130761","95.71247795","","","","90.8712046040881","85.3658536585366","7.14427465767017"
"Haiti","HTI","2010","","402210408.51","731188298.149801","4.72554844624997","9.93341813232119","130.1949828","182.2835017","140.0080847","","","","","","","303.6307134","0","0.0429311739252819","","","579000000","654176381","0.0014525134621142","0.0732669374683523","92.8328179735979","1.86237448398492","0.0270894830732203","5.02501572278563","0.0102779620226001","0.213670967127136","0.0273008939465211","2.1407137901544","3146000000","1815048895","15.3834113653451","0.114544517545903","46.6421885565788","18.2128619185215","1.10627901294086","17.6130455152284","0.0097517483130943","0.899736643182827","0.132725239889474","20.3613545628477","218.0637459","","","","81.3674126002067","95.27445155375","8.65623809354685"
"IBRD only","IBD","1977","","","","","","","","","","","","","","","","","","","","190219520361.397","129212778182","14.1026354022922","2.81661229733314","72.7819123798553","1.84912981023795","0.836939670530704","5.90262209923018","2.71997943968795","0.777873530885831","1.02890766727992","7.13298029009018","193600980604.881","150243678000","11.6282084095412","6.65695298007814","73.5156643329778","2.11982629977948","0.720763105919172","5.71347368106896","4.41610994107852","0.883707732447817","1.00224649718706","9.64161234125272","","","","","","",""
"IDA only","IDX","1998","","10517850636.263","15299265372.418","30.2312996619695","18.3192510059763","","","","","","","","","","","","","","","38492277030.1567","32415724773.538","5.2052705084316","6.09256452605914","69.0279768169873","6.22139113571766","3.20446852255497","2.17914624099351","3.03478411997733","3.2691743639294","7.85778829140824","11.0911716933254","55659630820.5207","58044106417","7.13207745825403","4.52346560187371","59.7621452979873","9.73449247742227","3.57249151126865","3.99989876980487","1.26726893710682","5.18401174601076","9.34761380214524","12.8765762118719","","","","26.3478674283492","55.9194448227611","41.4773513378052","22.0929743498387"
"IDA only","IDX","2012","5.96083708517956","54110245548.9779","63649481636.2259","35.8174533003909","20.2848117800211","","","","23.141095246953","16.6995485917377","5.31889116307948","","0.193548277950094","3.11338541858158","","5.99829015864963","6.49082607420989","33.1371520221702","57.9620106471916","178120683189.314","155957257822","4.59445402930726","7.21280888116076","51.3225716127647","14.6944366694085","2.35148119761482","2.68465150610604","1.77438053903102","5.48135012078553","17.0966743249821","17.492000964223","275000113291.298","270904420270","7.23147936917198","9.5509314750983","40.3553256794557","19.4739978496549","6.38240488278763","4.8120965032639","2.18364993384166","8.56551856144433","10.9955272203798","26.9185402162578","","9.6842111485289","2.08178207123337","18.4703847743899","56.4658619066864","39.9001666621526","16.7585002390826"
