"Country Name","Country Code","Year","average_value_Current account balance (BoP, current US$)","average_value_Debt service (PPG and IMF only, % of exports of goods, services and primary income)","average_value_Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)","average_value_Debt service on external debt, total (TDS, current US$)","average_value_Exports of goods, services and primary income (BoP, current US$)","average_value_External debt stocks (% of GNI)","average_value_External debt stocks, long-term (DOD, current US$)","average_value_External debt stocks, private nonguaranteed (PNG) (DOD, current US$)","average_value_External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)","average_value_External debt stocks, short-term (DOD, current US$)","average_value_Foreign direct investment, net inflows (BoP, current US$)","average_value_GNI (current US$)","average_value_Grants, excluding technical cooperation (BoP, current US$)","average_value_IBRD loans and IDA credits (DOD, current US$)","average_value_IFC, private nonguaranteed (NFL, current US$)","average_value_IMF repurchases and charges (TDS, current US$)","average_value_Imports of goods, services and primary income (BoP, current US$)","average_value_Multilateral debt service (% of public and publicly guaranteed debt service)","average_value_Multilateral debt service (TDS, current US$)","average_value_Net ODA received (% of GNI)","average_value_Net ODA received per capita (current US$)","average_value_Net financial flows, IDA (NFL, current US$)","average_value_Net financial flows, IMF concessional (NFL, current US$)","average_value_Net financial flows, IMF nonconcessional (NFL, current US$)","average_value_Net financial flows, RDB concessional (NFL, current US$)","average_value_Net financial flows, bilateral (NFL, current US$)","average_value_Net financial flows, multilateral (NFL, current US$)","average_value_Net financial flows, others (NFL, current US$)","average_value_Net flows on external debt, private nonguaranteed (PNG) (NFL, current US$)","average_value_Net official development assistance received (current US$)","average_value_PNG, commercial banks and other creditors (NFL, current US$)","average_value_PPG, IDA (DOD, current US$)","average_value_PPG, official creditors (NFL, current US$)","average_value_Personal remittances, received (current US$)","average_value_Portfolio equity, net inflows (BoP, current US$)","average_value_Present value of external debt (% of GNI)","average_value_Present value of external debt (% of exports of goods, services and primary income)","average_value_Present value of external debt (current US$)","average_value_Public and publicly guaranteed debt service (% of GNI)","average_value_Public and publicly guaranteed debt service (% of exports of goods, services and primary income)","average_value_Short-term debt (% of exports of goods, services and primary income)","average_value_Short-term debt (% of total external debt)","average_value_Short-term debt (% of total reserves)","average_value_Technical cooperation grants (BoP, current US$)","average_value_Total debt service (% of GNI)","average_value_Total debt service (% of exports of goods, services and primary income)","average_value_Total reserves (% of total external debt)","average_value_Total reserves (includes gold, current US$)","average_value_Total reserves in months of imports","average_value_Use of IMF credit (DOD, current US$)"
"Egypt, Arab Rep.","EGY","1974","","","288231792.6","301610792.6","","24.2535733795174","1500786305.2","","1500786305.2","594884561.2","130000","9109910658.63287","1049560000","35853000","0","13379000","","2.11912778424013","6108000","15.1073931578796","36.4979517297709","11458000","","37019000","","-34296181.5","5958000","","","1376270019.53125","","35853000","-28338181.5","","","","","","3.16393654560005","","","26.9242","84.3314274808847","15890000","3.31079857862473","","31.9266531697658","705412654.534802","","113808000"
"Ethiopia","ETH","2014","-5771532764.96013","11.8159320249646","750584691.6","759224077.2","6396127496.36029","30.5539086650813","16201525305.3","","16201525305.3","291806699.9","1855052153.64106","55459432981.0435","2323580000","4258610000","96470234","5177385.6","18390223632.7632","12.5667521807475","94324118.1","6.46230905779821","36.5358769697023","854166000","","-5080129.2","156199915.4","1759546305.1","1008227000","-2139190.1","","3583959960.9375","","4258610000","2767773030.4","1796377786.73295","","","","","1.35339409592694","11.7349863964894","4.56224020027825","1.722","8.27762897240968","200150000","1.36897194289655","11.870058525757","20.804012300004","3525244981.05226","2.3002950163837","451692494"
"Gabon","GAB","2004","924480491.200408","5.63093443690686","211661198.7","238571315.1","4236797955.52814","62.7236000539044","3820448962.8","","3820448962.8","182974900.9","313970792.039638","6576889964.31131","33490000","38194000","-3250000","26910116.4","3128460199.66821","41.847403465546","88574715.8","0.608798400654404","29.5762711115236","","","36964355.8","-186733.6","-15268411.4","44535000","3766318.6","","40040000.9155273","","","29266775.6","6852364.36149356","","","","","3.21825665091789","4.99578221387276","4.31870726007257","4.4354","40.7474645780214","44200000","3.62741837547196","5.63093443690686","10.8852742875595","449046100.892113","1.72242984305085","121838293.5"
"Guinea","GIN","2012","-1038620000","8.35469731704899","136370483.8","176968363.1","2118190000","19.6535836782295","1148132508","","1148132508","114350072.4","605560000","7516065253.97551","604620000","158959000","0","40597879.3","3289260000","74.528942457268","101635479.4","8.42674942206704","59.4590764796391","-30232000","","15541516","-8555930.1","57764632.2","-46383000","-6446360.9","","633359985.351563","","158959000","11381607.2","66300000","","","","","1.81438663970977","6.43806664180267","5.39848041960353","7.7411","14.9886597488001","44570000","2.35453468164603","8.35469731704899","51.6465539188709","762910589.181624","2.78327863111444","214693593.6"
"Equatorial Guinea","GNQ","1963","","","","","","","","","","","","10840095.1283649","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Grenada","GRD","2009","-197163179.62963","11.4690708500305","20012060","22880146.3","195361477.777778","78.5916934485625","477761359.7","","477761359.7","38301075","102556362.962963","708231333.333333","15190000","50187000","0","2394086.3","432148021.481482","60.4588118364626","12099053.7","6.47104973672275","433.229053012702","2567000","","9697587.4","","3741495.4","12652000","10838881","","45830001.8310547","","39406000","16393376.4","27652595.1851852","","","","","2.82563889200045","10.2436059696291","19.6052340695166","6.8811","29.6725842491477","3200000","3.23060350808163","11.7116980073349","23.190163380471","129078999.922631","3.58429964288972","40548563.7"
"High income","HIC","1983","","","","","2173305386255.55","","","","","","43776310258.9401","9277474895684.13","","","0","","2148599746529.82","","","0.0265724241309335","2.58496383562117","","","","","","","","","2465249977.92207","","","","16488090713.077","20955033363.9222","","","","","","","","","","","","","","4.92017787037183",""
"Hong Kong SAR, China","HKG","1996","","","","","","","","","","","10460173705.3332","158337276805.917","3270000","","","","","","","0.0083366343513948","2.0511226492526","","","","","","","","","13199999.8092651","","","","","","","","","","","","","","10250000","","","","63832739750","",""
"Hungary","HUN","1989","-588084499.900606","","","","12014862948.5969","","","","","","0","","","","0","","12732953807.1668","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","1846298314.16406","1.74001886015626",""
"Iraq","IRQ","1987","","","","","","","","","","","-4291000","54500967741.9355","11650000","","","","","","","0.158455903057116","5.31214972845981","","","","","","","","","86360000.6103516","","","","","","","","","","","","","","12580000","","","","6751949358.05587","",""
"Iceland","ISL","2014","775896985.337866","","","","10120968500.9264","","","","","","766775539.042214","16897076236.1288","","","","","9220062207.65904","","","","","","","","","","","","","","","","","217453947.347007","-89604348.0660902","","","","","","","","","","","","","4177067541.46937","5.43649374252531",""
"Korea, Rep.","KOR","1960","","","","","","","","","","","","3994151268.59808","249460000","","","","","","","6.27692818459188","10.023439067154","","","","","","","","","250710006.713867","","","","","","","","","","","","","","250000","","","","157015600","",""
"Liberia","LBR","1965","","","","","","","","","","","","","11130000","","","","","","","","28.359077935089","","","","","","","","","35310001.373291","","","","","","","","","","","","","","920000","","","","","",""
"St. Lucia","LCA","1980","-33300000","","","","87500000","","","","","","30900000","160364220.481481","5940000","","","","135400000","","","5.38149974385184","73.2423542319391","","","","","","","","","8630000.11444092","","","","","0","","","","","","","","","1700000","","","","8287427.03002546","0.734483931760011",""
"St. Lucia","LCA","2016","-77505735.3496437","4.74432961884946","43635819.1","47787894.1","977290741.262706","30.9798739821962","430886296.8","","430886296.8","81512000","143682737.585234","1751355905.72943","21270000","79490000","0","2730075","1058066150.02587","46.643129932675","20353111.8","0.869611909972865","84.5979488870415","2541000","","-2713394.3","","-2961953.3","-8146000","-8567870.9","","15229999.5422363","","72197000","-11107824.2","38390538.5586423","484747.777777778","","","0","2.49154491998163","4.46497825648286","8.3406090489185","15.0343","26.6798026950304","2520000","2.72862265994395","4.88983391352463","56.3509711160762","305519500.768958","3.46503288961456","29774259.8"
"Low income","LIC","1974","","15.4614988111278","550578625.2","586127282.4","","","6732662192.2","","6732662192.2","463926887.1","149620499.576198","","","620935000","0","35548657.2","","8.90728394735365","49041601.5","","12.3582615027822","76101000","6499845","97319989.7","411000","884140368.4","147601000","69888318.9","","2396019999.6829","","356234000","1031742920.9","44764400.753","1055235.04173248","","","","","15.4595932047909","0.118019599669509","6.26942460090341","","","","","20.405986376298","","","203242909"
"Sri Lanka","LKA","1975","-110030207.1844","26.4907221433695","138474611.6","169291611.6","639060010.0812","24.2731036694864","599854849.6","","599854849.6","72000000","142711.034","3369329529.24394","55790000","74820000","0","30817000","829151107.3182","5.18867676679586","7185000","4.19757080594955","10.2819733127985","13578000","","27193000","6081000","38844718.5","22139000","","","141429992.675781","","38611000","60983718.5","8562662.125","0","","","","4.10985658713747","21.6684833060365","11.2665475642658","8.8036","125.366945471116","20410000","5.02448959446208","26.4907221433695","7.02232059845548","57431406.4440441","0.831183690458543","145986000"
"Lower middle income","LMC","1985","","22.6445848695645","20760300178.4","28235629709.8","142404641690.883","36.7600918650243","197990803204.8","11982941000","186007862204.8","40863561504.2","3226180812.17983","892378372349.382","","30346597987.1","0","2360413531.4","174834425633.726","12.8465249932891","2666977151.1","1.34313094283546","6.69096634582346","1829771000","-230949186.8","-199467722.9","515760278.6","3719141951.8","4133118000","227984778.3","498975000","11985810046.196","498975000","17807038987.1","7852259272.1","12655613965.3188","48160379.6353698","","","","2.95649420414997","20.436749347582","41.1491502436969","16.1890934836569","141.599813219747","","4.08297029250815","27.0649713657098","11.7333944551649","","3.81250274793278","13559777846"
"Lesotho","LSO","1990","101686601.562108","4.15966988545244","22827087.9","23287755.3","1098406180.27132","41.3244168880569","377728610.8","","377728610.8","2792964.9","16478706.5164182","957269702.005952","59900000","111734304.3","0","260667.4","1233659325.88453","44.4822118549778","10153993.6","14.5340445426474","81.6607091755532","8636000","","3893718.6","14532984.5","16520078.7","26596000","1545581.9","","139130004.882813","","111734304.3","43116174.7","998588133.070648","0","","","","2.38460361298033","2.07820097064289","0.254274324941445","0.706","3.85907875295379","41970000","2.4327266653484","4.19570344377287","18.2953528050702","72373876.7409768","0.703992182176405","15064546.7"
"Madagascar","MDG","1970","","","61421499.9","61421499.9","","43.7518935556239","485146240.2","","485146240.2","","10000000","1108857699.11469","20190000","11445000","0","0","","7.03316250341194","4319873.9","4.32426999435749","7.29132860518779","5018000","","0","","6521471","3023000","-17526.2","","47950000.7629395","","9869000","9544944.8","","","","","","5.53916881751722","","","0","","20630000","5.53916881751722","","","37122000","","0"
"Madagascar","MDG","2002","-477029187.834999","5.42076644519722","58559505.8","64847917.5","1131720359.47709","86.4686245974388","4136688764.3","","4136688764.3","231442182","14661798.0720596","5254956180.41158","143950000","1652156000","-320400","2788411.7","1778734768.71004","55.3193777123713","32394754.2","7.11594901276832","22.3046395034528","157313000","13056149","","6775989.6","-11730068.4","168519000","5878412.6","","373940002.441406","","1652156000","156788551.8","29323596.1441193","0","","","","1.1143671572046","5.17437945775379","20.4504743651459","5.0934","63.710377285972","84990000","1.23403345858007","5.73003012245554","7.99474632940757","363272345.666928","2.45076906612925","175757386.1"
"Mexico","MEX","2007","-9897487162","7.19392677573386","21477634322.8","38036275323.1","298770184812","18.9451552239161","168260400235.3","47428817000","120831583235.3","27362000000","31109400241","1034991278893.14","126500000","4540269000","-346097182.47","15674000.3","335085642999","6.23149169915432","1338377000","0.0108657919518648","1.03013172967127","","","","-3428000","-458190798","834824000","","6965966000","112459999.084473","3675966000","","376633202","26879863159","-486360071","","","","2.07515123661419","7.18868060289038","9.15820968454983","13.9544","31.3754985817627","103920000","3.67503341320687","12.7309474829405","44.4756541530787","87208175923.3125","3.12307654160782","458304105"
"Mali","MLI","1993","-188584240.524609","16.0819875979268","66748549.9","78721224.7","476969803.843701","102.932877554662","2786247706.1","","2786247706.1","46316423.1","4061271.09744007","2820491619.65599","176000000","655665000","0","9957674.8","896410819.707142","38.895695620198","25962312.8","13.1168619284961","40.712330606568","43042000","","5450119.9","7458132.3","11745915.3","46734000","-3266346.6","","369959991.455078","","655665000","58479521.5","125616882.3","0","","","","2.3665572850786","13.9942925866798","9.71055666978397","1.5953","","127620000","2.79104621872983","16.504446207206","","","","70649056.1"
"Malta","MLT","2009","-557794386.179874","","","","23412950990.4434","","","","","","1444871046.00601","8238328841.34482","","","","","24099842331.1526","","","","","","","","","","","","","","","","","259902916.946397","1712626382.69661","","","","","","","","","","","","","538508889.961921","0.268138960859085",""
"Northern Mariana Islands","MNP","1967","","","","","","","","","","","","","16060000","","","","","","","","1724.81440871402","","","","","","","","","20219999.3133545","","","","","","","","","","","","","","4160000","","","","","",""
"North America","NAC","1961","","","","","","","","","","","","612897370764.332","","","","","","","","0","0","","","","","","","","","0","","","","","29418797.0548019","","","","","","","","","","","","","","",""
"Oman","OMN","1972","","","","","","","","","","","1710000","291297550.807712","9640000","","","","","","","3.38485498053017","12.6998842799349","0","","","","","","","","9859999.65667725","","","","","","","","","","","","","","220000","","","","37308466.7984674","",""
"Other small states","OSS","2015","","","","","","","","","","","37728371823.8459","361590282418.181","","","-104191101","","278881987316.341","","","0.459741334843724","57.4246480186491","30838000","","","","","","","","1662379991.05453","","","","3654795283.32298","1329699558.83592","","","","","","","","","","","","68.9980584803277","","6.07942298712638",""
"Peru","PER","2005","1147610228.96893","22.4253529786561","4440196669.7","6074942020.5","20006325094.5041","41.3727350377722","26114061670.1","3572235000","22541826670.1","3211738000","2578719365.11","71336034731.7014","252900000","2815841000","-61829491.56","46292350.8","20630652256.5459","20.5408964973081","912056202.2","0.652433255055742","16.7019907826392","","","-39518845","-11084000","-2177592158.1","241142000","1990.6","-70199000","465420013.427734","-1150199000","","-1936450167.5","1440067536.07357","769081658.647505","","","","6.22433905444817","22.1939644023867","16.0536129690419","10.8822","22.6636160247912","282880000","8.51595136083493","30.3651069939318","48.016191439341","14171339633.0345","8.24288410670374","187868965.9"
"Poland","POL","1995","854000000","","","","36805000000","","","","","","3659000000","140142333319.588","3407700000","","","","36909000000","","","","","0","","","","","","","","","","","","724000000","219000000","","","","","","","","","332760000","","","","14957023986.8743","4.86288677131571",""
"Saudi Arabia","SAU","1972","2089388576.31764","","","","4381443019.16032","","","","","","33777644.4208395","7481863721.97418","0","","","","1867421198.69499","","","0.0298054081434816","0.348820496985282","","","","","","","","","2230000.01907349","","","","","0","","","","","","","","","2230000","","","","2583652932.52958","16.6024864728008",""
"Saudi Arabia","SAU","2015","-56723789493.776","","","","243587049039.558","","","","","","8141026666.66667","671549918797.291","","","","","255603890533.333","","","","","","","","","","","","","","","","","295434400","","","","","","","","","","","","","","626989686477.742","29.4356874695212",""
"Suriname","SUR","1961","","","","","","","","","","","","82450000","4500000","","","","","","","12.5409340844001","34.9427032695012","","","","","","","","","10340000.1525879","","","","","","","","","","","","","","40000","","","","16262115.6300738","",""
"Chad","TCD","1960","","","","","","","","","","","","311461553.677051","0","","","","","","","0.0096320072173512","0.0099946559670922","","","","","","","","","29999.9993294477","","","","","","","","","","","","","","30000","","","","12240000","",""
"Chad","TCD","1994","-37744637.5435477","7.83153009511347","12992630.1","15682498","195140640.646144","66.8994964993329","714938703.1","","714938703.1","26333967.5","27074698.9671029","1171969799.0669","114650000","331951000","0","2289867.9","423854484.375496","75.9310941977791","9865446.2","18.1139474289486","31.3063278020127","36104000","-1752844.5","14786045.7","17126409.4","4870534.6","58850000","5619660.5","","212289993.286133","","331951000","63720604.5","724057.2572","0","","","","1.10861475358362","6.65808519280206","13.4948657608193","3.3587","32.8033424600294","48530000","1.33813158090644","8.0365104614152","10.2390326487774","80278305.578426","2.27280753761633","42769224.1"
"Ukraine","UKR","2020","6224000000","","","","72721000000","","","","","","","157996179170.917","","","","","70259000000","","","","","","","","","","","","","","","","","15054000000","173000000","","","","","","","","","","","","","29137541200.0461","4.97659366629974",""
"St. Vincent and the Grenadines","VCT","2009","-197326470.37037","17.5509865551345","36108139.5","36153634.4","205992035.185186","37.1717428220337","227268733","","227268733","516576.5","110221666.296296","661910888.888889","13510000","23717000","0","45494.9","414739264.814814","44.4597772754257","16053598.4","4.34801740985963","265.760489474347","893000","","5761172.1","","-3197966.1","9297000","8029369.8","","28780000.6866455","","20393000","6099403.7","29057174.4444444","","","","","5.45513604718191","17.5289007982949","0.250774987263756","0.2099","0.588252372530801","6200000","5.4620093137747","17.5509865551345","35.6909689552582","87815455.4273306","2.54083843640533","18258600.2"
"British Virgin Islands","VGB","1966","","","","","","","","","","","","","0","","","","","","","","46.552869306914","","","","","","","","","419999.986886978","","","","","","","","","","","","","","420000","","","","","",""
"Vietnam","VNM","1967","","","","","","","","","","","","","360140000","","","","","","","","11.4940376141382","","","","","","","","","460600006.103516","","","","","","","","","","","","","","101530000","","","","","",""
"Zimbabwe","ZWE","2004","","","72428148.8","137831982.4","","91.1957760614265","3666098368.7","55320088.8","3610778279.9","1060730546.3","8700000","5522050000","159730000","982879000","-7565700","21283833.6","","15.2678655788038","11058232.4","3.39185634052133","15.582478360427","0","","-20948246.7","-1084833.1","19368653","2836000","5615238.1","-14218000","187300003.051758","-14218000","516020000","22205058","","","","","","1.3116170407729","","","21.0634","452.740756371234","54140000","2.49602923551942","","4.65243619054343","234290933.911466","","309047437"
"Aruba","ABW","1985","","","","","","","","","","","","","","","","","","","","","191.038333997414","","","","","","","","","12039999.961853","","","","","","","","","","","","","","","","","","","",""
"Afghanistan","AFG","1975","","","","","","","","","","","","2417777777.77778","21740000","","","","","","","2.77031263884376","5.27851979507347","","","","","","","","","66980003.3569336","","","","","","","","","","","","","","22460000","","","","217260903.825979","",""
"Arab World","ARB","1994","","","","","226459712869.21","","","","","","4909888144.10083","467721049940.232","","","0","","239615534417.326","","","1.64013358013517","31.2538922281645","","","","","","","","","7671250001.43052","","","","10391224182.095","243687389.959679","","","","","","","","","","","","26.9674912983789","","",""
"United Arab Emirates","ARE","1990","","","","","","","","","","","-115820000","","30000.0000000002","","","","","","","","1.93607981125575","","","","","","","","","3539999.96185303","","","","","","","","","","","","","","3650000","","","","4890564527.19409","",""
"Australia","AUS","1999","-21795709492.9592","","","","83249984025.889","","","","","","2210917991.82997","376456949492.418","","","","","105213922675.183","","","","","","","","","","","","","","","","","531812423.752442","11316360788.7786","","","","","","","","","","","","","21955814712.2324","2.5041341473426",""
"Austria","AUT","2018","5990933496.77658","","","","283071412987.802","","","","","","-28555242263.4249","450734470030.154","","","","","272693953721.52","","","","","","","","","","","","","","","","","3107741913.79122","-3814822994.59708","","","","","","","","","","","","","23190665221.0656","1.02051394559697",""
"Azerbaijan","AZE","2007","9018885000","0.804809293888976","136325980.7","270040331.8","22682991000","13.9397416056862","2421387783","143007154.5","2278380628.5","1132000000","4594234000","27970807831.2551","108370000","681832000","-1619302.71","46228839","14669133000","34.5336829108173","47078381.9","0.762616506628877","24.8575387830042","51982000","","-36833280.5","13070000","11642194.8","192948000","21308170.1","36456000","213309997.558594","36456000","660429000","204590364.9","1267735000","2005000","","","","0.487386640823676","0.601005311424759","4.99052351605659","29.0326","26.4912138140668","39610000","0.965436298547845","1.1904970195509","109.593509851184","4273114882.33472","3.49559708730002","345670553.7"
"Belgium","BEL","2004","11434413829.7619","","","","310418546928.427","","","","","","44498165771.14","373654333250.559","","","","","292502880697.692","","","","","","","","","","","","","","","","","6562530149.38673","4095366722.9798","","","","","","","","","","","","","13990812128.097","0.57397638319563",""
"Bulgaria","BGR","1985","-136000000","10.2016312352431","1175227918.3","1178227918.3","11520000000","22.5333883468357","3801537192.7","","3801537192.7","50000000","0","17092578947.3684","","","0","","11729000000","","","","","","","","","30368567.7","43084000","43084335.5","","","","","73452903.2","","0","","","","6.87566178233705","10.2016312352431","0.434027777777778","1.2981","","","6.8932132589705","10.2276729019097","","","",""
"Bulgaria","BGR","2009","-4256328502.85846","2.51938396363976","612135933.2","4870909559.5","24384475267.2182","110.575867230811","36928271823.3","31848004000","5080267823.3","17797030000","3896664559.17164","50357249591.2419","","1509462000","29526139.1","2202626.3","29965751819.5011","44.2573519224341","270915154.2","","","","","","","-5171882.6","268019000","-3372666.6","4519892000","","4892209000","","262847177.4","1591794627.63678","7584790.35850151","","","","1.21558651071853","2.51035105940106","72.9850849976085","31.9613","96.0852699969341","","9.67270770154839","19.9754536692791","33.2635319971648","18522121029.1316","7.4173160642989","957663625.8"
"Bahamas, The","BHS","2002","-423317708.657","","","","2591599201.85","","","","","","152790000","8696814900","280000","","","","3057267335.507","","","","","","","","","","","","","","","","","","","","","","","","","","","7460000","","","","380645829.417907","1.49406298231273",""
"Bahamas, The","BHS","2013","-1493926000","","","","3674164000","","","","","","382252000","10533630000","","","","","5171307000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","807408405.007461","1.8735884100653",""
"Bosnia and Herzegovina","BIH","1992","","","","","","","","","","","","","14750000","","","","","","","","3.70600175790225","","","","","","","","","15689999.5803833","","","","","","","","","","","","","","940000","","","","","",""
"Canada","CAN","1995","-5061141976.25065","","","","237645928677.902","","","","","","13657593613.3371","585086709414.165","","","","","241976824278.19","","","","","","","","","","","","","","","","","486450124.196581","-3077277112.4504","","","","","","","","","","","","","16369362023.5162","0.811781644246908",""
"Switzerland","CHE","2011","57071152571.5756","","","","580870484662.725","","","","","","20764483834.5029","728507478744.393","","","","","515602261905.061","","","","","","","","","","","","","","","","","2615246749.25133","7535939857.30456","","","","","","","","","","","","","330585879227.201","7.69397429729831",""
"Congo, Dem. Rep.","COD","1985","","","300330148.1","498222213.4","","","4958299367.3","","4958299367.3","405485396.8","69190000","","91230000","417598683.6","0","174692065.3","","9.98737329227854","29995093","","10.2191264250024","57290000","","47333509.3","4956829.1","-9510192.1","81136000","7209394.4","","305359985.351563","","371503683.6","71626032.5","","0","","","","","","","6.5705","120.95964498863","110670000","","","5.43200704086369","335223699.472759","","807483000.3"
"Congo, Rep.","COG","2001","-28424154.8009296","3.82209439406991","82113160.2","93996817.4","2214357069.02774","244.775380012491","3648042217.4","","3648042217.4","1121705998.1","-135361238.247372","1969428950.96476","34670000","202910000","-509900","2521657.2","2227559649.66526","99.1970889947553","81453864.6","3.75184894857223","22.9619660432789","32399000","","-1152148.7","0","2268067.3","8239000","24690400.8","","73889999.3896484","","186880000","10506858.9","12119417.8945795","","","","","4.16938931256066","3.70821677084145","50.6560578593816","23.2686","1558.13044641817","19060000","4.77279555344986","4.2448807698964","1.49336915519393","71990506.3583461","0.38781725841998","50928983.3"
"Comoros","COM","1975","","","525249.4","525249.4","","","4721546","","4721546","","","","14120000","","0","","","","","","83.7981206286507","","","","","488875.5","","","","21559999.4659424","","","488875.5","","","","","","","","","0","","6900000","","","","","","0"
"Caribbean small states","CSS","1985","","","","","7602966216.17229","","","","","","43155758.8494116","15209486936.8205","","","0","","8617957207.5895","","","1.92610046619513","50.4372604546027","3117000","","","","","","","","292949998.795986","","","","206874022.719","-300000","","","","","","","","","","","","3.90958514592929","","3.99819635044066",""
"Cuba","CUB","2008","","","","","","","","","","","","59751100000","70110000","","","","","","","0.210054713865067","11.1693762899917","","","","","","","","","125510002.13623","","","","","","","","","","","","","","37420000","","","","","",""
"Denmark","DNK","1994","3189386537.5911","","","","78144929369.6445","","","","","","5006178362.05013","152701498757.979","","","","","73751147066.7042","","","","","","","","","","","","","","","","","438739166.3","","","","","","","","","","","","","","9680246576.60019","1.57506647068335",""
"Egypt, Arab Rep.","EGY","2014","-5954500000","12.3525220604753","5850065054.2","5999884368.9","47364800000","13.9915900085747","37118977717.2","21356000","37097621717.2","3320830000","4612200000","298332708895.265","3546390000","4909321000","-39473930","682314.7","80976500000","17.7585280774637","1038885445.2","1.18579022419502","39.1220689652546","-77321000","","0","-7244084.8","-1346769166.2","440655000","60372154.4","9068000","3537600097.65625","9068000","1044373000","-906114333.8","19570400000","484900000","","","","1.9609197650043","12.3510815082086","7.01117707664764","7.9557","22.2471389658483","187380000","2.01113863482075","12.6673909082272","35.760578345629","14926998051.7397","2.21204888604566","1301681772.9"
"Ethiopia","ETH","1987","-216859903.381643","36.0172089160634","217809549.5","248942068.4","673961352.657004","70.3948524714677","7204116850.1","","7204116850.1","97561591","0","10480006666.6667","345670000","657818314.7","0","24932518.9","1299033816.42512","13.0937653860764","28519471.4","5.94732474053968","14.3847447604981","82574000","-6884440.2","-13273766.6","21657996.6","310119912.4","111833000","11995091.9","","623280029.296875","","600964314.7","421953173.9","8550724.983","0","","","","2.0783340738969","32.3178100111103","14.4758435502831","1.3224","43.5805259921899","142740000","2.37539990496189","36.9371429709698","3.03447765882567","223865106.670544","2.06798410178368","75706790.9"
"Ethiopia","ETH","2005","-1567750097.67822","4.29923075832474","79674608.6","88313921.1","1972885985.14426","49.9444271988528","5871759061.5","","5871759061.5","127913139","265111675.482385","12365354408.4331","1494820000","3358909000","0","5144312.5","4942723244.18987","54.5181975327583","43437160.5","15.6010085226634","25.2680187833202","161794000","","-3990295.3","125949144.4","68105048.5","308730000","28561560.7","","1929119995.11719","","3358909000","376835431.3","173519405.683879","0","","","","0.644337444510788","4.03848013519008","6.48355454715478","2.0711","12.2687249571821","195640000","0.714204528094805","4.4763824045079","16.8819310118665","1042595212.18723","2.53122457563318","176133229.9"
"European Union","EUU","2016","","","","","7916811292745.84","","","","","","735276443007.317","13903029455250.7","","","-93218421","","7283831049011.75","","","","","","","","","","","","","","","","","106178876674.641","399411929347.85","","","","","","","","","","","","","","3.14323602408967",""
"Finland","FIN","1976","-1114194870.42485","","","","7679965199.80288","","","","","","57984170.9085386","31975894753.0389","","","","","8752494039.74069","","","","","","","","","","","","","","","","","23807750.7","0","","","","","","","","","","","","","573064058.535593","0.785692474762411",""
"Micronesia, Fed. Sts.","FSM","1993","","","","","","","","","","","","218000000","54460000","","","","","","","28.5000004899611","597.973080799176","","","","","","","","","62130001.0681152","","","","","","","","","","","","","","7690000","","","","","",""
"Guinea-Bissau","GNB","1997","-6380000","14.4599368624692","7138937.3","8718920.1","56860000","362.84522256927","836912540.2","","836912540.2","71978470.5","11479108.8785","253850808.6941","52370000","220734000","0","1082982.8","102940000","85.9480976251185","6135780.8","49.0563726859585","109.959778349144","16413000","5109422.3","","11632088.8","-824156.5","27031000","-577751.1","","124529998.779297","","220734000","26206960.6","2000000","","","","","2.81225706418871","12.5552889553289","126.588938621175","7.8145","","40320000","3.43466311762144","15.3340135420331","","","","12194521.1"
"Israel","ISR","2004","2352700000","","","","56045700000","","","","","","2946900000","131771455600.178","533590000","","","","59954400000","","","","","","","","","","","","","","","","","297700000","3940000000","","","","","","","","","56320000","","","","27094382252.5438","5.42299792893475",""
"Italy","ITA","2003","-12128604342.2727","","","","430865150726.837","","","","","","19572886733.5724","1566556659142.21","","","","","431109421587.115","","","","","","","","","","","","","","","","","3023192838.03654","5267865255.7574","","","","","","","","","","","","","63263645220.8156","1.76095372690987",""
"Japan","JPN","2000","130690474028.488","","","","633934268186.535","","","","","","10688168325.6084","4957337923546.96","","","","","493413059782.941","","","","","","","","","","","","","","","","","773406710.355769","-1285970962.41701","","","","","","","","","","","","","361639097011.665","8.79520531144647",""
"Kenya","KEN","1969","","","","","","","","","","","","1431879414.02541","3540000","","","","","","","3.89767468032756","5.11517308901098","","","","","","","","","55810001.373291","","","","","","","","","","","","","","24330000","","","","169660000","",""
"Kuwait","KWT","2006","45311775628.758","","","","77396761226.7338","","","","","","121305596.280329","114715713301.172","","","","","28411011274.2696","","","","","","","","","","","","","","","","","0","44455744.0913707","","","","","","","","","","","","","14179782169.7328","5.98913514179963",""
