"Country Name","Country Code","Year","average_value_Current account balance (BoP, current US$)","average_value_Debt service (PPG and IMF only, % of exports of goods, services and primary income)","average_value_Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)","average_value_Debt service on external debt, total (TDS, current US$)","average_value_Exports of goods, services and primary income (BoP, current US$)","average_value_External debt stocks (% of GNI)","average_value_External debt stocks, long-term (DOD, current US$)","average_value_External debt stocks, private nonguaranteed (PNG) (DOD, current US$)","average_value_External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)","average_value_External debt stocks, short-term (DOD, current US$)","average_value_Foreign direct investment, net inflows (BoP, current US$)","average_value_GNI (current US$)","average_value_Grants, excluding technical cooperation (BoP, current US$)","average_value_IBRD loans and IDA credits (DOD, current US$)","average_value_IFC, private nonguaranteed (NFL, current US$)","average_value_IMF repurchases and charges (TDS, current US$)","average_value_Imports of goods, services and primary income (BoP, current US$)","average_value_Multilateral debt service (% of public and publicly guaranteed debt service)","average_value_Multilateral debt service (TDS, current US$)","average_value_Net ODA received (% of GNI)","average_value_Net ODA received per capita (current US$)","average_value_Net financial flows, IDA (NFL, current US$)","average_value_Net financial flows, IMF concessional (NFL, current US$)","average_value_Net financial flows, IMF nonconcessional (NFL, current US$)","average_value_Net financial flows, RDB concessional (NFL, current US$)","average_value_Net financial flows, bilateral (NFL, current US$)","average_value_Net financial flows, multilateral (NFL, current US$)","average_value_Net financial flows, others (NFL, current US$)","average_value_Net flows on external debt, private nonguaranteed (PNG) (NFL, current US$)","average_value_Net official development assistance received (current US$)","average_value_PNG, commercial banks and other creditors (NFL, current US$)","average_value_PPG, IDA (DOD, current US$)","average_value_PPG, official creditors (NFL, current US$)","average_value_Personal remittances, received (current US$)","average_value_Portfolio equity, net inflows (BoP, current US$)","average_value_Present value of external debt (% of GNI)","average_value_Present value of external debt (% of exports of goods, services and primary income)","average_value_Present value of external debt (current US$)","average_value_Public and publicly guaranteed debt service (% of GNI)","average_value_Public and publicly guaranteed debt service (% of exports of goods, services and primary income)","average_value_Short-term debt (% of exports of goods, services and primary income)","average_value_Short-term debt (% of total external debt)","average_value_Short-term debt (% of total reserves)","average_value_Technical cooperation grants (BoP, current US$)","average_value_Total debt service (% of GNI)","average_value_Total debt service (% of exports of goods, services and primary income)","average_value_Total reserves (% of total external debt)","average_value_Total reserves (includes gold, current US$)","average_value_Total reserves in months of imports","average_value_Use of IMF credit (DOD, current US$)"
"Low income","LIC","1968","","","","","","","","","","","","","","","","","","","","","3.3336713717992","","","","","","","","","554649998.873472","","","","","","","","","","","","","","","","","","","",""
"Low & middle income","LMY","1965","","","","","","","","","","","","","","","","","","","","","2.24748961966736","","","","","","","","","5627169921.875","","","","","0","","","","","","","","","","","","","","",""
"Luxembourg","LUX","1975","","","","","","","","","","","","2601849292.53044","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Morocco","MAR","1962","","","","","","","","","","","","2393439383.46013","47900000","","","","","","","3.33369633118416","6.09321658414292","","","","","","","","","79790000.9155273","","","","","","","","","","","","","","1400000","","","","174203030","",""
"Middle East & North Africa","MEA","1974","","","","","","","","","","","-2984206562.55119","200572260533.848","","","0","","","","","1.86690822871119","24.2347026986659","31164000","","","","","","","","3744500036.41844","","","","425501348.49","0","","","","","","","","","","","","90.0488730273297","","",""
"Middle East & North Africa (excluding high income)","MNA","2001","","14.5093827073189","12908612411","14756912932.9","","36.1324294469802","117122588176.7","4382503000","112740085176.7","22837384293.6","7182785892.31397","457619355145.219","","9971063000","1672100","402380521.9","","25.3550596229146","3272986373.3","1.06839012986767","17.2002713702924","63071000","","-113493650.3","8842044.1","-1353254227.9","137334000","126713151.7","1014680000","4889160022.7356","914680000","2679817000","-1215921526.5","12755103438.2159","-25193355.1102987","","","","3.35311146845774","14.2360839478186","27.1352510747246","15.9478401911018","26.1035160460582","","3.81590181459963","12.4142298023705","51.3325042479275","","","3240511231.2"
"Middle East & North Africa (excluding high income)","MNA","2006","","","27557797077.1","31351419970.8","360090881656.009","21.2144472672866","115448097274.2","6671369000","108776728274.2","27269114219.6","30474420440.1362","802669462957.235","","9811038000","-63068990.47","208218893.7","279626402344.251","21.0897505114063","5811870650","2.13080614636575","55.1525640369631","143186000","","-150093864.8","1027042.6","-9831767707.8","-1235245000","-422650336.2","-427717000","17103330251.6937","-221717000","3615573000","-11067012122.5","24483111091.2089","963342467.996461","","","","4.1537886931436","","","18.9083401826562","","","4.73935082271207","12.3221633724626","143.085540482024","","22.9201141107287","1500175945.7"
"Mongolia","MNG","1986","-1060600000","","","","825200000","","","","","","140000","2894479033.33333","180000","","","","1885600000","","","0.225256424587673","3.2990725562836","","","","","","","","","6519999.98092651","","","","","0","","","","","","","","","3340000","","","","","",""
"Malaysia","MYS","1970","","","","","","","","","","","94000000","3803737096.56344","3890000","","0","","","","","0.693002695537687","2.43980757085892","","","","","","","","","26360000.6103516","","","","","","","","","","","","","","13090000","","","","667456900","",""
"Nicaragua","NIC","2006","-884700000","4.60435441722346","97901808","168062046.4","2155200000","63.995884650095","3480802165.9","232485000","3248317165.9","617337254","286800000","6547770219.93051","1543510000","255656000","29555833.3","1331238.4","4043200000","62.2675927496661","60961099.1","9.52767056007898","113.144263627494","61132000","","61475405.4","110567000","267813.8","191640000","29239616.1","-59201000","623849975.585938","-59201000","255656000","191907429.9","697500000","0","","","","1.49519309187119","4.54258574610245","28.6440819413512","14.7325","66.9641759125006","110650000","2.56670653909696","7.79797913882702","22.000597712718","921891810.938807","2.73612527979464","92164057.2"
