"Country Name","Country Code","Year","average_value_Air transport, freight (million ton-km)","average_value_Air transport, passengers carried","average_value_Air transport, registered carrier departures worldwide","average_value_Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)","average_value_Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)","average_value_Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","average_value_Annual freshwater withdrawals, total (% of internal resources)","average_value_Annual freshwater withdrawals, total (billion cubic meters)","average_value_Container port traffic (TEU: 20 foot equivalent units)","average_value_Electric power consumption (kWh per capita)","average_value_Electric power transmission and distribution losses (% of output)","average_value_Electricity production from coal sources (% of total)","average_value_Electricity production from hydroelectric sources (% of total)","average_value_Electricity production from natural gas sources (% of total)","average_value_Electricity production from nuclear sources (% of total)","average_value_Electricity production from oil sources (% of total)","average_value_Fixed broadband subscriptions","average_value_Fixed broadband subscriptions (per 100 people)","average_value_Fixed telephone subscriptions","average_value_Fixed telephone subscriptions (per 100 people)","average_value_ICT goods exports (% of total goods exports)","average_value_ICT goods imports (% total goods imports)","average_value_ICT service exports (% of service exports, BoP)","average_value_ICT service exports (BoP, current US$)","average_value_Individuals using the Internet (% of population)","average_value_Industrial design applications, nonresident, by count","average_value_Industrial design applications, resident, by count","average_value_Investment in ICT with private participation (current US$)","average_value_Investment in energy with private participation (current US$)","average_value_Investment in transport with private participation (current US$)","average_value_Investment in water and sanitation with private participation (current US$)","average_value_Liner shipping connectivity index (maximum value in 2004 = 100)","average_value_Mobile cellular subscriptions","average_value_Mobile cellular subscriptions (per 100 people)","average_value_Public private partnerships investment in ICT (current US$)","average_value_Public private partnerships investment in energy (current US$)","average_value_Public private partnerships investment in transport (current US$)","average_value_Public private partnerships investment in water and sanitation (current US$)","average_value_Rail lines (total route-km)","average_value_Railways, goods transported (million ton-km)","average_value_Railways, passengers carried (million passenger-km)","average_value_Renewable internal freshwater resources per capita (cubic meters)","average_value_Renewable internal freshwater resources, total (billion cubic meters)","average_value_Secure Internet servers","average_value_Secure Internet servers (per 1 million people)","average_value_Trademark applications, nonresident, by count","average_value_Trademark applications, resident, by count"
"Jamaica","JAM","2003","48.859","1838047","23976","","","","","","1137798","2408.61758047241","8.67618247970893","0","1.63727959697733","0","0","97.4811083123426","9000","0.33217233","458675","16.92879369","0.2813728655","7.8361944376","8.44821375945512","180600000","7.8","5","3","","","175000000","","","1576360","58.1803526","","","175000000","","","","","","","","","",""
"Cambodia","KHM","1997","","","","","","","","","","24.2508050116678","13.8364779874214","0","0","0","0","100","","","20044","0.17740251","","","13.4039900249377","21500000","0.005844911","","","","127000000","","","","33556","0.296992548","","127000000","","","601","35","49","10673.8944686392","120.6","","","",""
"Kiribati","KIR","2013","","","","","","","","","52964.24","","","","","","","","700","0.648808972","6000","5.561219761","0.0062772316","5.0013688653","5.56371576133144","792028.172125809","11.5","","10","","","","","5.8045037024","20000","18.5373992","","","","","","","","","","1","9.26895733498939","",""
"Kuwait","KWT","1987","244","1511100","14300","","","","","","","8635.75317342268","7.45080698651338","0","0","34.0481980986071","0","65.9518019013929","","","254826","13.14275193","","","","","","","","","","","","","14300","0.737528167","","","","","","","","0","0","","","",""
"Libya","LBY","1979","8.3999996185","913800","11600","","","","","","","1051.110786754","21.566265060241","0","0","0","0","100","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","",""
"Lower middle income","LMC","1974","549.9999978541","18433100","507600","","","","","","","111.326995012072","13.6061269411986","16.22620065483","26.0358713197726","3.92779097195978","0.967964022588571","12.6721563917796","","","4774598","0.389866851130675","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lower middle income","LMC","1980","1299.9999998213","36968200","700600","","","","","","","151.851744249036","14.9119569801771","14.6274651076732","25.2270317404678","6.29401427603808","0.677331118829685","12.4380368124752","","","10282529","0.75419075919123","","","","","","","","","","","","","0","0","","","","","","","","","","","","",""
"Morocco","MAR","2004","61.898","3004353","41526","","","","","","560682","612.282251126641","4.5749788195425","70.7088393109291","9.08218017509178","0.711663371928834","0","18.3733408641627","64660","0.214708752","1308569","4.345209036","6.9024821739","7.2326559872","4.26324393113675","341689206.58055","11.60793477","","","","","200000000","","9.39","9336878","31.00385739","","","200000000","","1907","5524","2644","","","","","",""
"Maldives","MDV","2005","0.013","81945","4520","","","","","","","","","","","","","","3260","1.019999499","32296","10.10487848","0.174185569","11.2091560761","","","6.869605067","","","40000000","","","","4.08","203620","63.70929389","","","","","","","","","","","","",""
"Mexico","MEX","1967","","","","","","","","","","","","","","","","","","","494946","1.12172","","","","","","","","","","","","","","","","","","","","","","8710.24338251505","409","","","",""
"Mexico","MEX","1985","170","15364400","204600","","","","","","","1077.43148294091","11.8497886846831","4.14242544817129","28.2151652345976","8.49132693114239","0","57.386357526159","","","3704432","4.87531205","","","","","","213","253","","","","","","0","0","","","","","","","","","","","","",""
"Mali","MLI","2005","","","","","","","","","","","","","","","","","","","75904","0.594136472","0.1779729719","2.2225131239","16.1241274448822","44230159.3313036","0.507063136","","","","","","","","761986","5.964424451","","","","","","","","","","","","",""
"Malta","MLT","2007","11.894","1674773","16895","43.20170253","54.6701347836","2.1281626862","72.8712871287129","0.0368","1956908","4873.08346692106","13.6759581881533","0","0","0","0","100","83982","20.59129292","230433","56.49917127","46.2160235763","23.1955418986","1.61176842036643","106801521.266527","46.9","2","34","","","","","31.1235605256","368530","90.35875759","","","","","","","","124.162822946273","0.0505","","","788","422"
"Myanmar","MMR","1974","1.7999999523","388300","17900","","","","","","","22.4610423748622","20.5673758865248","2.12765957446809","67.1394799054374","6.02836879432624","0","24.7044917257683","","","20700","0.0759102","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Middle East & North Africa (excluding high income)","MNA","1978","777.2999994532","13058400","203000","","","","","","","370.120027733569","9.88661074867971","1.98867875903804","32.1688059417417","18.0738525356294","0","47.017607342559","","","1883428","1.43399746372158","","","","","","","","","","","","","0","0","","","","","","","","","","","","",""
"Mauritania","MRT","2000","12.508","185061","3761","","","","","","","","","","","","","","","","18969","0.721194699","","3.3832675481","","","0.192031462","","","","","","","","15300","0.581700611","","","","","","","","","","","","",""
"Namibia","NAM","1977","","","","","","","","","","","","","","","","","","","26000","2.618444322","","","","","","","","","","","","","0","0","","","","","","","","6203.70510244674","6.16","","","",""
"New Caledonia","NCL","2009","","","","","","","","","119147","","","","","","","","33121","13.24389707","67426","26.96123318","5.3694554457","4.4347390816","0.234116900511279","1129689.40678258","33.99","","","","","","","13.6618610734","209595","83.80950477","","","","","","","","","","","","",""
"Nicaragua","NIC","2019","","","","","","","","","173481.5","","","","","","","","217618","3.32469534","228782","3.495255215","0.0597156525","2.5494959866","","","","","","","","","","7.8186376034","5788432","88.43373663","","","","","","","","","","564","86.1660287987035","",""
"Netherlands","NLD","2003","4330.731","23454932","248246","","","","","","7293790","6695.7151244396","5.3399161312979","30.7194943089095","0.0743663368381912","56.8282757338511","4.15005474188684","2.57493441302237","1988000","12.27088459","7846000","48.42925579","16.1002255124","18.1364999567","8.31774101319774","5472685543.17189","64.35","","","","","","","","13200000","81.4766985","","","","","2811","4705","14500","","","","","",""
"Nauru","NRU","1992","","","","","","","","","","","","","","","","","","","1200","11.96410768","","","","","0","","","","","","","","0","0","","","","","","","","","","","","",""
"Panama","PAN","1999","15","932500","21200","","","","","","","1219.37387524287","19.5633187772926","0","68.2314410480349","0","0","31.1353711790393","","","462476","15.56531444","","","2.16672179953688","39300000","3.836864509","","","","","","","","232888","7.838190412","","","","","485","","","","","","","",""
"Philippines","PHL","2002","275.053","6449022","57193","","","","","","3324800","522.299074568188","12.3176594383808","33.2762498194648","14.5109043266553","18.0968494026864","0","12.9840922689665","21000","0.025809541","3310933","4.069222026","39.8604606556","51.4769379908","7.44394618834081","415000000","4.332275746","335","448","","126000000","30100000","","","15383001","18.90610486","","","30100000","","","","93","5887.03336042925","479","","","",""
"Korea, Dem. People's Rep.","PRK","2011","1.36480373536981","78558.8615502066","732","","","","","","","656.010328859526","15.8119213564964","28.1389784666597","68.6570269426818","0","0","3.20399459065848","","","1180000","4.782479266","","","","","0","","","","","","","0.9235844282","1000000","4.05294853","","","","","","","","","","0","0","",""
"Korea, Dem. People's Rep.","PRK","2015","0.288","87082","483","","","","","","","","","21.2855790929606","72.7960981291403","0","","5.9183227778991","","","1180000","4.685545683","","","","","","","","","","","","","3240000","12.86539662","","","","","","","","","","","","",""
"Portugal","PRT","1990","167","3504500","45000","","","","","","","2541.86575911695","11.1565873967963","32.1219391715475","32.2630724719498","0","0","33.162797262014","","","2379265","24.0442393","","","","","0","","","","","","","","6500","0.065687326","","","","","","","","","","","","",""
